lang,dur
한국어,18530.220406999993
Abaachi,3936.3395910000004
Abab,2328.34612
Abanyum,819.121633
Abau,10086.373878000002
Abawa,3085.505306
Abayong,1264.013061
Abbe,1640.75102
Abe,4892.238366
Abidji,3465.038368000001
Abini,2596.989388
Abong,7344.065304000001
Aborlan,3049.404082
Abron,3332.310204
Abua,2189.165715
Abu,3449.3126530000004
Abui,2314.8146949999996
Aceh,5966.73306
Achagua,1716.0097959999998
Ache,4392.9338800000005
Acheron,29226.945311000032
Achhami,6883.761627000002
Achi,4205.897144
Achik,23178.004904
Achode,14575.307755000002
Acholi,7957.18531
Achuar,7361.253876999999
Ada,2771.356733
Adan-Gbe,2688.4440830000003
Adangbe,17470.406528999996
Adang,2090.1877529999997
Adangme,13834.213875
Adara,5226.213876
Adare,430.39347
Adele,20791.980411999994
Adi,9905.998367999999
Adim,867.6048969999999
Adiyar,789.76
Adzera,1817.129795
Aeka,1829.6946940000003
Aekyom,18162.233466999995
afae,1853.283265
Afan,21213.048162999985
Afar,5936.9534699999995
Af,17414.164896
Afrikaans,56207.17714899999
Afrike,1679.804082
Afshari,2159.6734679999995
Agarabi,8667.245710000001
Agatu,2603.598367
Agbo,1304.11102
Agharia,420.963265
aghim,407.51020400000004
Agi,3011.239184
Agni,2135.7191829999997
Agob,964.414694
Agoi,818.520816
Agoune,2710.62204
Agrame,1656.0326529999998
Agta,4612.127348000001
Agutayno,2230.7787749999998
Agwagwune,896.7314289999999
Ahanta,28934.269387
Ahe,11640.581225999997
Aikana,6923.833469000001
Aimol,7500.173066000001
Aita,9909.838367999999
Aizi,2772.3493879999996
Aja,18512.666127
Ajao,2841.6261229999996
Ajawanini,974.393469
Ajie,834.690612
Ajummaawi,1718.8310219999998
Akabara,833.802449
Akaselem,6748.995916
Akawoia,2012.943673
Akeanon,1772.120817
Akebou,6910.928979000001
Akei,8514.246533000001
Akeu,6501.694692000002
Akha,3344.953467
Akɨghɨman,1677.2440809999998
Akolet,2405.407346
Akoose,2151.7844910000003
Akpafu-Lolobi,2582.622041
Akpet,1288.515919
Akposo,8979.722449
Akposso,10101.133066000002
Akwa,2152.176326
Akwe,17264.378775
Ak,1681.893878
Akye,2475.572245
Alabe,788.453878
Aladian,2119.3404079999996
Alago,1691.951021
Alak,4826.827755
Alangan,4012.120816
Alawa,2315.7812269999995
Albanski,10130.964897000002
Ale,4555.546121999999
Alege,2600.045714
Ali,1631.216328
Allar,5729.515104000001
Alor,3487.503674
Alsengg,767.346939
Alu,8185.051430999999
Alumu-Tesu,4407.301224
Alune,9975.980408
Alur,7498.605714
Alyawarr,17765.355106
Amadi,1154.45551
Amahuaca,1723.663674
Amanab,7832.346124
Amarasi,15732.479996
Ama,2781.910203
Amayo,2098.390205
Ambae,13162.370612
Ambai,6231.614692999999
Ambele,1741.9755109999999
Ambrym,25186.795095999994
Amdo,27663.412245000003
Amele,1650.8081630000001
Amene,2297.626122
Amol,3634.3902040000003
Amo,1731.0302040000001
Amto,631.24898
amueixa,4152.241634
Amuku,937.012244
Amulah,420.257959
Amuzgo,2802.546938
Anakalang,3771.715919
Anak,4054.308572000001
Anal,6576.300410000001
Ana,858.775511
Andoh,2327.3273470000004
Andoque,821.76
Andra-Hus,809.534694
Aneityum,3034.77551
Anen,721.998367
Angaite,1703.627755
Angal,40508.13386899999
Angkola,6185.482448
Angoram,1709.8448979999998
Anii,16644.362447000003
Animere,1562.044082
Anindilyakwa,37056.91428600001
Anishinaabemowin,2068.7673449999993
Anishnaabemowin,2158.288981
Annang,2097.084082
Anuak,10321.031840000001
Anufo,24916.636743000003
Anuki,67325.96245200007
An,1261.557551
Anyanga,4927.81714
Anyang,2787.63102
Anyin,12931.082449999996
Aola,1359.804082
Apache,3172.8587749999997
Apalai,1305.6783679999999
Apal,43552.940414000026
Apatani,6477.322449000001
Apinaye,3883.284897
Apma,7709.100406
Apolo,1252.5191829999999
Apurina,5322.239997
Arabela,1744.352653
Arabic,210368.992657
Aragones,2403.239188
aragones,2355.043267
Arakan,9697.959186
Araki,1707.650613
Aramaic,10726.217143000002
Aram,3918.942037
Aramba,5268.845714000001
Aranada,1399.3012239999998
Araona,5965.792654
Arara,9630.014689999996
Ararahih,865.724082
Arawak,1271.536327
AreAre,3508.715102
